OBJECTID,COMPTYPE,COMPKEY,HANSEGKEY,UNITID,UNITTYPE,BRGUNITID,UNITDESC_BRG,UNITDESC_SEG,INSTDATE,EXPDATE,STATUS,STATUSDT,CONDITION,CONDDT,OWN,LSTVERIFY,MAINTBY,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,ADDDTTM,MODDTTM,BR_NBR,BR_CODE,BR_TYPE,BR_NAME,BR_FACILITIES,BR_FEATURES,BR_RATING,BR_INSET,BR_GEO,BR_OWNER,BR_OWNER_NAME,GEOBASID,XGEOBASID,GISSEGKEY,EARTHQUAKE_RESPONSE_TEAM,Shape__Length
103628,66,511838,12370,BRG-054, ,BRG-054,RAINIER & MLK JR PED                                                                                                                                                                                                                                           ,RAINIER AVE S BETWEEN S MOUNT BAKER EB BV AND S HANFORD ST                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT2, ,N,,12/21/2009 12:00:00 AM,11/21/2022 12:00:00 AM,54,  54,E,RAINIER & ML KING WAY PED BR,PEDESTRIANS,RAINIER AVE & ML KING JR WAY S,1,0,S,SDOT,Seattle Dept. of Transportation,166150010,0,12370,BRGTEAM-L,269.567415537973
103629,66,511822,13766,BRG-037, ,BRG-037,YESLER WAY /5TH AVE                                                                                                                                                                                                                                            ,YESLER WAY BETWEEN TERRACE ST AND 6TH AVE                                                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT2,DISTRICT3,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,37,  37,E,YESLER WAY / 5TH AVE S,YESLER WAY,5TH AVE S,1,1,DT,SDOT,Seattle Dept. of Transportation,107850130,0,13766,BRGTEAM-Q,196.190715777797
103630,66,511922,18047,BRG-133, ,BRG-133,UW PED /NE PACIFIC ST - W BR                                                                                                                                                                                                                                   ,NE PACIFIC ST BETWEEN XW 17 AVNE AND NE PACIFIC PL                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT4, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,133, 133,PR,UW PED BR / NE PACIFIC ST,PEDESTRIANS,NE PACIFIC ST,1,0,NE,PRIV,Other,0,139500175,18047, ,138.627908697455
103631,66,511884,16860,BRG-094WA, ,BRG-094WA,NE 45TH ST VIADUCT - W APPR                                                                                                                                                                                                                                    ,NE 45TH ST BETWEEN 21ST AVE NE AND NE 45TH ST RP                                                                                                                                                                                                               ,,12/31/2011 12:00:00 AM,REMOVED,12/31/2011 12:00:00 AM, ,, ,, ,DISTRICT4, ,N,,12/21/2009 12:00:00 AM,10/25/2023 12:00:00 AM,94,  94W,E,NE 45TH ST VIADUCT WEST APPR,NE 45TH ST,25TH AVE NE,2,0,NE,SDOT,Seattle Dept. of Transportation,132850220,0,16860, ,872.562733981368
103632,66,515713,491406,BRG-850, ,BRG-850,DEARBORN-N RAMP NBCD OC                                                                                                                                                                                                                                        ,SR99 SB DEARBORN ST ON RP BETWEEN S DEARBORN ST AND I5 NB COLLECTOR                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,850, 850,ST,DEARBORN-N RAMP NBCD OC,SR 5 ON RAMPS,S DEARBORN ST,2,2,S,DOT,State of Washington,0,0,491406, ,770.784034596577
103633,66,511888,11871,BRG-099, ,BRG-099,SWEDISH HOSP /MINOR AVE                                                                                                                                                                                                                                        ,MINOR AVE BETWEEN MARION ST AND MADISON ST                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT3, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,99, ,PR,SWEDISH HOSP PARKING PED BR, , ,0,0,CE,PRIV,Other,0,0,11871, ,287.511377272029
103634,66,511832,23283,BRG-046, ,BRG-046,W EMERSON ST VIADUCT                                                                                                                                                                                                                                           ,W EMERSON ST BETWEEN 15TH AVE W AND 15TH EMERSON RP                                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,5/3/2018 12:00:00 AM,46,  46,E,W EMERSON ST VIADUCT,W EMERSON ST,RAILROAD,2,0,MA,SDOT,Seattle Dept. of Transportation,185700112,0,23283,BRGTEAM-B,386.924304537719
103635,66,511865,12249,BRG-080, ,BRG-080,PIKE ST /POST ALLEY                                                                                                                                                                                                                                            ,POST AL BETWEEN UNION ST AND PIKE LOWER ST                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,80,80,E,PIKE ST AT POST ALLEY,"PEDESTRIANS, SHOPS", ,5,1, ,SDOT,Seattle Dept. of Transportation,0,0,12249, ,91.1974973233086
103636,66,511835,18485,BRG-051, ,BRG-051,NW 57TH ST /RR                                                                                                                                                                                                                                                 ,NW 57TH ST BETWEEN 34TH AVE NW AND 37TH PL NW                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,51,  51,E,NW 57TH ST / RAILROAD,NW 57TH ST,RAILROAD,5,0,NO,SDOT,Seattle Dept. of Transportation,145600150,0,18485, ,166.723128909298
103637,66,511870,8914,BRG-99/557, ,BRG-99/557,SR 99 OVER DEXTER WAY N                                                                                                                                                                                                                                        ,AURORA AVE N BETWEEN HOWE ST AND LYNN ST                                                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,84,  84,ST,AURORA AVE N / LYNN ST,SR 99,LYNN ST,1,0,QA,DOT,State of Washington,52500170,0,8914, ,129.608003994343
